"出发城市","到达城市","距离公里","驾驶时间分钟","数据日期","数据说明"
"塞哥维亚","梅里达","419","276","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"塞哥维亚","里斯本","618","424","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"塞哥维亚","波尔图","490","346","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"萨拉曼卡","马德里","215","157","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"萨拉曼卡","巴塞罗那","842","553","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"萨拉曼卡","瓦伦西亚","573","391","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"萨拉曼卡","塞维利亚","462","305","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"萨拉曼卡","格拉纳达","633","422","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"萨拉曼卡","科尔多瓦","515","362","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"萨拉曼卡","马拉加","672","456","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"萨拉曼卡","龙达","590","416","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"萨拉曼卡","托莱多","237","185","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"萨拉曼卡","塞哥维亚","154","127","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"萨拉曼卡","圣地亚哥","427","306","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"萨拉曼卡","毕尔巴鄂","398","262","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"萨拉曼卡","圣塞巴斯蒂安","453","301","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"萨拉曼卡","萨拉戈萨","539","355","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"萨拉曼卡","赫罗纳","910","598","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"萨拉曼卡","阿利坎特","637","426","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"萨拉曼卡","加的斯","579","382","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"萨拉曼卡","梅里达","274","186","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"萨拉曼卡","里斯本","468","309","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"萨拉曼卡","波尔图","350","240","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"圣地亚哥","马德里","592","400","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"圣地亚哥","巴塞罗那","1085","717","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"圣地亚哥","瓦伦西亚","950","634","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"圣地亚哥","塞维利亚","828","583","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"圣地亚哥","格拉纳达","1009","665","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"圣地亚哥","科尔多瓦","881","639","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"圣地亚哥","马拉加","1038","734","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"圣地亚哥","龙达","956","694","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"圣地亚哥","托莱多","658","436","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"圣地亚哥","塞哥维亚","526","365","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"圣地亚哥","萨拉曼卡","426","301","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"圣地亚哥","毕尔巴鄂","580","394","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"圣地亚哥","圣塞巴斯蒂安","678","461","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"圣地亚哥","萨拉戈萨","782","519","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"圣地亚哥","赫罗纳","1153","762","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"圣地亚哥","阿利坎特","1014","669","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"圣地亚哥","加的斯","945","660","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"圣地亚哥","梅里达","645","465","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"圣地亚哥","里斯本","539","359","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"圣地亚哥","波尔图","233","162","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"毕尔巴鄂","马德里","395","267","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"毕尔巴鄂","巴塞罗那","606","396","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"毕尔巴鄂","瓦伦西亚","611","401","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"毕尔巴鄂","塞维利亚","861","556","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"毕尔巴鄂","格拉纳达","810","538","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"毕尔巴鄂","科尔多瓦","784","522","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"毕尔巴鄂","马拉加","927","621","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"毕尔巴鄂","龙达","939","666","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"毕尔巴鄂","托莱多","469","316","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"毕尔巴鄂","塞哥维亚","354","252","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"毕尔巴鄂","萨拉曼卡","397","261","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"毕尔巴鄂","圣地亚哥","582","398","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"毕尔巴鄂","圣塞巴斯蒂安","99","76","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"毕尔巴鄂","萨拉戈萨","303","198","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"毕尔巴鄂","赫罗纳","674","440","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"毕尔巴鄂","阿利坎特","772","513","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"毕尔巴鄂","加的斯","978","633","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"毕尔巴鄂","梅里达","674","437","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"毕尔巴鄂","里斯本","862","556","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"毕尔巴鄂","波尔图","679","450","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"圣塞巴斯蒂安","马德里","451","308","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"圣塞巴斯蒂安","巴塞罗那","513","379","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"圣塞巴斯蒂安","瓦伦西亚","572","385","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"圣塞巴斯蒂安","塞维利亚","917","596","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"圣塞巴斯蒂安","格拉纳达","866","579","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"圣塞巴斯蒂安","科尔多瓦","840","562","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"圣塞巴斯蒂安","马拉加","983","662","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"圣塞巴斯蒂安","龙达","995","707","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"圣塞巴斯蒂安","托莱多","525","356","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"圣塞巴斯蒂安","塞哥维亚","410","292","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"圣塞巴斯蒂安","萨拉曼卡","453","301","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"圣塞巴斯蒂安","圣地亚哥","680","465","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"圣塞巴斯蒂安","毕尔巴鄂","102","76","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"圣塞巴斯蒂安","萨拉戈萨","264","182","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"圣塞巴斯蒂安","赫罗纳","636","393","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"圣塞巴斯蒂安","阿利坎特","734","497","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"圣塞巴斯蒂安","加的斯","1034","674","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
"圣塞巴斯蒂安","梅里达","730","477","2026-09-19","OSRM道路估算；不含实时交通、休息、游览"
