起点,终点,道路公里,道路分钟,说明,更新日期
泰德缆车下站,北机场 TFN,53.9,57.1,无实时路况；不含候车、缆车、游览和停车,2026-09-20
泰德缆车下站,南机场 TFS,52.3,63.9,无实时路况；不含候车、缆车、游览和停车,2026-09-20
泰德缆车下站,科斯塔阿德赫／Puerto Colón,50.0,53.0,无实时路况；不含候车、缆车、游览和停车,2026-09-20
泰德缆车下站,洛斯克里斯蒂亚诺斯港,49.3,54.5,无实时路况；不含候车、缆车、游览和停车,2026-09-20
泰德缆车下站,拉古纳古城,54.5,55.7,无实时路况；不含候车、缆车、游览和停车,2026-09-20
泰德缆车下站,拉奥罗塔瓦,35.2,42.9,无实时路况；不含候车、缆车、游览和停车,2026-09-20
泰德缆车下站,克鲁斯港,39.0,46.7,无实时路况；不含候车、缆车、游览和停车,2026-09-20
泰德缆车下站,加拉奇科,63.1,72.3,无实时路况；不含候车、缆车、游览和停车,2026-09-20
泰德缆车下站,伊科德龙血树公园,59.0,67.1,无实时路况；不含候车、缆车、游览和停车,2026-09-20
泰德缆车下站,马斯卡接驳点 · 圣地亚哥-德尔泰德,45.3,48.1,无实时路况；不含候车、缆车、游览和停车,2026-09-20
泰德缆车下站,洛斯吉甘特斯港／巨人悬崖,50.2,56.1,无实时路况；不含候车、缆车、游览和停车,2026-09-20
泰德缆车下站,阿纳加 · Cruz del Carmen,65.0,69.4,无实时路况；不含候车、缆车、游览和停车,2026-09-20
泰德缆车下站,特雷西塔海滩,72.1,76.5,无实时路况；不含候车、缆车、游览和停车,2026-09-20
泰德缆车下站,埃尔梅达诺海滩,50.0,53.0,无实时路况；不含候车、缆车、游览和停车,2026-09-20
阿纳加 · Cruz del Carmen,圣克鲁斯市区,20.4,22.5,无实时路况；不含候车、缆车、游览和停车,2026-09-20
阿纳加 · Cruz del Carmen,北机场 TFN,13.7,18.3,无实时路况；不含候车、缆车、游览和停车,2026-09-20
阿纳加 · Cruz del Carmen,南机场 TFS,79.9,73.4,无实时路况；不含候车、缆车、游览和停车,2026-09-20
阿纳加 · Cruz del Carmen,科斯塔阿德赫／Puerto Colón,91.4,68.6,无实时路况；不含候车、缆车、游览和停车,2026-09-20
阿纳加 · Cruz del Carmen,洛斯克里斯蒂亚诺斯港,90.9,70.7,无实时路况；不含候车、缆车、游览和停车,2026-09-20
阿纳加 · Cruz del Carmen,拉古纳古城,10.4,13.0,无实时路况；不含候车、缆车、游览和停车,2026-09-20
阿纳加 · Cruz del Carmen,拉奥罗塔瓦,35.0,33.4,无实时路况；不含候车、缆车、游览和停车,2026-09-20
阿纳加 · Cruz del Carmen,克鲁斯港,35.5,32.6,无实时路况；不含候车、缆车、游览和停车,2026-09-20
阿纳加 · Cruz del Carmen,加拉奇科,60.3,59.2,无实时路况；不含候车、缆车、游览和停车,2026-09-20
阿纳加 · Cruz del Carmen,伊科德龙血树公园,56.1,53.9,无实时路况；不含候车、缆车、游览和停车,2026-09-20
阿纳加 · Cruz del Carmen,马斯卡接驳点 · 圣地亚哥-德尔泰德,72.8,70.9,无实时路况；不含候车、缆车、游览和停车,2026-09-20
阿纳加 · Cruz del Carmen,洛斯吉甘特斯港／巨人悬崖,87.2,87.5,无实时路况；不含候车、缆车、游览和停车,2026-09-20
阿纳加 · Cruz del Carmen,泰德缆车下站,64.8,68.5,无实时路况；不含候车、缆车、游览和停车,2026-09-20
阿纳加 · Cruz del Carmen,特雷西塔海滩,29.0,35.3,无实时路况；不含候车、缆车、游览和停车,2026-09-20
阿纳加 · Cruz del Carmen,埃尔梅达诺海滩,75.6,58.6,无实时路况；不含候车、缆车、游览和停车,2026-09-20
特雷西塔海滩,圣克鲁斯市区,10.6,18.5,无实时路况；不含候车、缆车、游览和停车,2026-09-20
特雷西塔海滩,北机场 TFN,22.4,29.8,无实时路况；不含候车、缆车、游览和停车,2026-09-20
特雷西塔海滩,南机场 TFS,76.2,75.6,无实时路况；不含候车、缆车、游览和停车,2026-09-20
特雷西塔海滩,科斯塔阿德赫／Puerto Colón,87.7,70.9,无实时路况；不含候车、缆车、游览和停车,2026-09-20
特雷西塔海滩,洛斯克里斯蒂亚诺斯港,87.1,72.9,无实时路况；不含候车、缆车、游览和停车,2026-09-20
特雷西塔海滩,拉古纳古城,20.0,25.8,无实时路况；不含候车、缆车、游览和停车,2026-09-20
特雷西塔海滩,拉奥罗塔瓦,45.9,44.0,无实时路况；不含候车、缆车、游览和停车,2026-09-20
特雷西塔海滩,克鲁斯港,46.5,43.2,无实时路况；不含候车、缆车、游览和停车,2026-09-20
特雷西塔海滩,加拉奇科,71.3,69.8,无实时路况；不含候车、缆车、游览和停车,2026-09-20
特雷西塔海滩,伊科德龙血树公园,67.1,64.5,无实时路况；不含候车、缆车、游览和停车,2026-09-20
特雷西塔海滩,马斯卡接驳点 · 圣地亚哥-德尔泰德,83.8,81.5,无实时路况；不含候车、缆车、游览和停车,2026-09-20
特雷西塔海滩,洛斯吉甘特斯港／巨人悬崖,112.7,92.0,无实时路况；不含候车、缆车、游览和停车,2026-09-20
特雷西塔海滩,泰德缆车下站,73.5,80.0,无实时路况；不含候车、缆车、游览和停车,2026-09-20
